,year,loss
0,1989,9.0441
1,1989,11.2335
2,1989,17.1571
3,1989,14.6784
4,1989,12.2602
5,1989,14.0829
6,1989,13.1485
7,1989,6.1707
8,1989,14.5127
9,1989,12.6929
10,1989,8.3662
11,1989,8.0838
12,1989,11.2268
13,1989,23.6951
14,1989,6.8265
15,1989,10.6384
16,1989,11.3883
17,1989,7.6136
18,1989,7.3059
19,1989,7.2298
20,1989,11.5149
21,1989,6.7228
22,1989,10.739
23,1989,5.6213
24,1989,6.9517
25,1989,10.8901
26,1989,7.5071
27,1989,9.8856
28,1989,10.4541
29,1989,14.4081
30,1989,7.081
31,1989,12.2214
32,1989,7.755
33,1989,9.823
34,1989,11.9038
35,1989,9.5938
36,1989,4.1266
37,1989,6.0872
38,1989,13.4075
39,1989,13.1269
40,1989,8.1854
41,1989,7.8581
42,1989,7.0762
43,1989,9.8271
44,1989,6.4955
45,1989,13.162
46,1989,16.5229
47,1989,9.2633
48,1989,12.79
49,1989,10.2637
50,1989,18.1023
51,1989,9.759
52,1989,12.356
53,1989,11.6019
54,1989,10.1492
55,1989,9.5655
56,1989,7.0564
57,1989,13.488
58,1989,13.0485
59,1989,8.1142
60,1989,11.1583
61,1989,6.8234
62,1989,8.4675
63,1990,9.0441
64,1990,11.2335
65,1990,17.1571
66,1990,14.6784
67,1990,12.2602
68,1990,14.0829
69,1990,13.1485
70,1990,6.1707
71,1990,14.5127
72,1990,12.6929
73,1990,8.3662
74,1990,8.0838
75,1990,11.2268
76,1990,23.6951
77,1990,6.8265
78,1990,10.6384
79,1990,11.3883
80,1990,7.6136
81,1990,7.3059
82,1990,7.2298
83,1990,11.5149
84,1990,6.7228
85,1990,10.739
86,1990,5.6213
87,1990,6.9517
88,1990,10.8901
89,1990,7.5071
90,1990,9.8856
91,1990,10.4541
92,1990,14.4081
93,1990,7.081
94,1990,12.2214
95,1990,7.755
96,1990,9.823
97,1990,11.9038
98,1990,9.5938
99,1990,4.1266
100,1990,6.0872
101,1990,13.4075
102,1990,13.1269
103,1990,8.1854
104,1990,7.8581
105,1990,7.0762
106,1991,9.0441
107,1991,11.2335
108,1991,17.1571
109,1991,14.6784
110,1991,12.2602
111,1991,14.0829
112,1991,13.1485
113,1991,6.1707
114,1991,14.5127
115,1991,12.6929
116,1991,8.3662
117,1991,8.0838
118,1991,11.2268
119,1991,23.6951
120,1991,6.8265
121,1991,10.6384
122,1991,11.3883
123,1991,7.6136
124,1991,7.3059
125,1991,7.2298
126,1991,11.5149
127,1991,6.7228
128,1991,10.739
129,1991,5.6213
130,1991,6.9517
131,1991,10.8901
132,1991,7.5071
133,1991,9.8856
134,1991,10.4541
135,1991,14.4081
136,1991,7.081
137,1991,12.2214
138,1991,7.755
139,1991,9.823
140,1991,11.9038
141,1991,9.5938
142,1991,4.1266
143,1991,6.0872
144,1991,13.4075
145,1991,13.1269
146,1991,8.1854
147,1991,7.8581
148,1991,7.0762
149,1991,9.8271
150,1991,6.4955
151,1991,13.162
152,1991,16.5229
153,1991,9.2633
154,1991,12.79
155,1991,10.2637
156,1991,18.1023
157,1992,9.0441
158,1992,11.2335
159,1992,17.1571
160,1992,14.6784
161,1992,12.2602
162,1992,14.0829
163,1992,13.1485
164,1992,6.1707
165,1992,14.5127
166,1992,12.6929
167,1992,8.3662
168,1992,8.0838
169,1992,11.2268
170,1992,23.6951
171,1992,6.8265
172,1992,10.6384
173,1992,11.3883
174,1992,7.6136
175,1992,7.3059
176,1992,7.2298
177,1992,11.5149
178,1992,6.7228
179,1992,10.739
180,1992,5.6213
181,1992,6.9517
182,1992,10.8901
183,1992,7.5071
184,1992,9.8856
185,1992,10.4541
186,1992,14.4081
187,1992,7.081
188,1992,12.2214
189,1992,7.755
190,1992,9.823
191,1992,11.9038
192,1992,9.5938
